cell_idx,cell_name,Apelin signaling pathway,Axon guidance,B cell receptor signaling pathway,C-type lectin receptor signaling pathway,Calcium signaling pathway,cAMP signaling pathway,Cardiac muscle contraction,Cellular senescence,Chemokine signaling pathway,Cholinergic synapse,ErbB signaling pathway,Estrogen signaling pathway,Focal adhesion,Gap junction,GnRH secretion,"Growth hormone synthesis, secretion and action",Insulin secretion,JAK-STAT signaling pathway,MAPK signaling pathway,Melanogenesis,Natural killer cell mediated cytotoxicity,Oxidative phosphorylation,Phospholipase D signaling pathway,PI3K-Akt signaling pathway,Protein digestion and absorption,Rap1 signaling pathway,Ras signaling pathway,Regulation of actin cytoskeleton,Regulation of lipolysis in adipocytes,Relaxin signaling pathway,Renin secretion,Serotonergic synapse,Signaling pathways regulating pluripotency of stem cells,Taste transduction,Th17 cell differentiation,Thermogenesis,Thyroid hormone signaling pathway,Wnt signaling pathway
118,EoL-1-cell,0.006390128,-0.039882875,0.400101553,0.294159025,0.058386561,0.017846412,-0.091646301,0.11830233,0.187558972,0.039733987,0.128105156,0.015013965,-0.007238678,-0.028059283,0.02373263,0.115152217,0.017501987,0.226018802,0.129803992,-0.079794184,0.266558247,-0.044013577,0.213013971,0.080473983,-0.080422025,0.077802352,0.083700119,0.087306995,0.099911427,0.026082124,0.015453754,-0.058456405,0.01173772,0.097964628,0.253707879,0.071805344,0.087636361,0.014002347
119,EC-GI-10,0.035518688,0.142110884,-0.028374683,0.067250337,0.122230535,0.093382918,0.079830364,-0.006303258,0.095960924,0.062074711,0.016916715,0.124437851,0.096650451,0.037126913,-0.061020603,0.035487441,0.103837057,0.281053202,0.162096674,0.131671674,0.142980345,-0.187805676,0.096005261,0.164414504,0.240304511,0.109860909,0.099815849,0.074201464,0.094311854,0.098941727,0.035580377,0.157952362,0.193585347,0.160974112,0.053616447,-0.112517225,0.015624753,0.111918485
120,ECC12,0.122721947,0.144071371,0.071963502,0.018097268,0.030336046,0.106203923,0.026533142,0.208607052,0.063446398,0.11473645,0.187573074,0.117085454,0.01219768,0.110854791,0.238192267,0.196106826,0.133498048,-0.032679495,0.103830589,0.143309233,-0.038301552,0.107222081,0.124376372,-0.009833385,0.000782424,0.0564898,0.095166508,0.025742405,0.104577305,0.093367589,0.091141486,0.160059878,0.179160533,0.050006659,-0.029499884,0.137212669,0.170286945,0.105563241
121,ECC10,0.106528798,0.146317276,-0.089125496,-0.018124828,0.107122385,0.106466704,0.154261791,0.044032422,0.043941254,0.186929057,0.067830864,0.0518767,-0.059129482,0.159474701,0.243393223,0.159939668,0.167323525,0.027275373,0.115118021,0.17221785,-0.027819618,-0.11008989,0.095747857,-0.001115497,0.102210048,0.101624393,0.112853689,0.008531592,0.248704649,0.142333437,0.146845251,0.237929956,0.213522845,0.119404316,-0.039670138,0.054305833,0.133606243,0.166076
122,DJM-1,0.16642119,0.251189582,0.145034061,0.303818756,0.07602117,0.123012531,0.019423779,0.252013163,0.169074717,0.106417811,0.288937492,0.204638486,0.276217369,0.140976064,-0.010391029,0.181409228,0.070973776,0.201754737,0.255135096,0.262511068,0.173984951,-0.071839239,0.19368711,0.18111482,0.117635532,0.220038175,0.225534248,0.240002196,0.203559623,0.260352064,0.138937942,0.081899389,0.245739551,0.001545533,0.174112763,0.017674736,0.157511121,0.279845053
123,CW-2,-0.035188878,0.016871656,0.032327419,0.043846674,-0.002406974,-0.006377959,0.134147714,0.107505018,0.062941793,-0.018001051,0.065972932,0.077424307,-0.023547829,-0.045598973,0.004045292,0.031571952,-0.029449853,0.080184679,0.033932676,0.082100908,0.03310771,0.399531351,-0.017544913,0.040903023,-0.075475357,0.055195463,0.015767454,0.071783291,0.022739357,-0.014247266,0.025290809,0.048893346,0.057654082,-0.087878678,0.022629415,0.288475969,0.135658162,0.085901772
124,CTB-1,0.095843039,-0.004089446,0.492162121,0.314006606,0.044970034,0.059714387,-0.065734057,0.317278573,0.173187037,0.049176682,0.135202793,0.024282578,-0.033399608,-0.00722836,0.119550683,0.130102813,0.081778263,0.183205218,0.043884953,-0.051616767,0.305889165,0.047894957,0.085779876,0.037602017,-0.079114389,-0.01376075,0.031548052,0.071227861,0.015384354,0.028620704,0.035795854,-0.062931497,0.056126293,0.027095765,0.344608974,0.143230784,0.149904387,0.077910612
125,COLO-679,0.145247804,0.005423528,0.00028825,0.047571586,0.121816618,0.03566588,0.095594814,0.094251578,0.044893031,0.078511689,0.080831624,0.136957243,0.081380923,0.132131875,0.04727137,0.112796579,0.054025782,0.032772579,0.006589001,0.077180334,0.082448787,0.435177936,0.071762897,0.100538214,0.103616007,0.082181022,0.038039864,0.114254096,0.106650187,0.104444337,0.110231789,0.082356904,0.051377411,0.08612089,0.081522814,0.240613641,0.111736799,0.023952949
126,CHP-134,0.094464675,0.210638921,-0.089673906,-0.080631925,0.093323922,0.154194831,0.106249793,0.00730701,-0.014412713,0.258581788,0.183532376,0.042520883,-0.03435533,0.12079552,0.237318554,0.124548479,0.235515897,-0.102457676,0.065914494,0.128474077,-0.126153339,-0.014607169,0.159392511,-0.008660026,-0.039543328,0.098897894,0.038523161,0.00630167,0.175019536,0.132044571,0.029829089,0.112401654,0.175583073,0.223578,-0.174866131,0.127900445,0.138464826,0.133030141
127,CHP-126,0.147206616,0.249781685,-0.130761503,-0.085194426,0.110654231,0.135960095,0.145261212,-0.007402837,-0.006133621,0.265664749,0.112554297,0.086284959,-0.062698033,0.171307305,0.214274495,0.146934729,0.286946516,-0.071852899,0.068008596,0.123212594,-0.136551546,0.019200135,0.141603022,0.007979228,-0.083868362,0.089309448,0.049023593,-0.013166973,0.080144605,0.098071677,0.200494744,0.160184307,0.117924373,0.175961579,-0.148707375,0.143459412,0.096434472,0.12205663
128,BALL-1,0.100232543,-0.060926934,0.490793287,0.276646601,0.026413731,-0.011719786,-0.094545355,0.25897025,0.111472274,0.085267891,0.120645162,0.022935215,-0.048519463,-0.118524286,0.113697094,0.135318288,0.002274453,0.137308315,0.038770434,0.025220471,0.258546147,-0.064358761,0.086836011,0.03500888,-0.171304934,-0.002354049,0.048807152,-0.020359837,0.081599635,0.018484339,-0.017125417,-0.06040196,0.102527474,0.106406212,0.290837303,0.078653483,0.062355201,0.105630011
129,HAL-01,0.187119891,0.053047491,0.452834492,0.272830723,0.020673638,0.017668064,-0.17944397,0.344637071,0.155084093,0.131962323,0.194414725,0.036569863,0.011733694,0.040147273,0.116715126,0.159060094,-0.012986969,0.079556318,0.117101459,0.051377128,0.20102574,-0.223795836,0.156938143,0.062630328,-0.181228292,0.109844885,0.140357937,0.125958485,0.072693346,0.110398807,0.086301038,-0.007360169,0.070372941,-0.013587861,0.29309865,0.011897472,0.208138127,0.125604686
130,HGC-27,0.085090901,0.137610971,-0.062365128,-0.106874953,0.104808626,0.059232428,0.174941325,0.075333151,-0.039063622,0.086127802,-0.147565904,0.01624731,-0.081317199,0.176994871,0.082030547,-0.005940116,-0.004417698,-0.025544536,0.016533234,0.106945583,-0.116422496,0.381485751,-0.004616745,0.051537804,0.100772091,0.04786842,-0.011543558,-0.032634192,0.045823669,0.032124366,0.121060512,-0.023914858,0.172580993,0.049568916,-0.057958601,0.253847632,0.081491023,0.188456331
131,HMV-II,0.156321919,0.19967102,0.114692337,0.153933942,0.062599718,0.073956245,0.065312624,0.123451824,0.112586736,0.175802215,0.243612532,0.096035106,0.113993693,0.073435718,0.206058511,0.2223105,0.157182822,0.086833672,0.105690917,0.153943655,0.098949557,0.196266228,0.121954123,0.082953272,0.045823304,0.097975043,0.069463354,0.104406449,0.187134446,0.091499266,0.012208858,0.071421273,0.198851048,0.004502435,0.157270607,0.135012263,0.2297656,0.170867784
132,LU-165,0.106020641,0.126499418,-0.062461703,-0.018719663,0.178042578,0.129036778,0.154696326,0.06837097,-0.048904064,0.256033619,0.10883069,0.038037248,-0.034085747,0.145460847,0.195173971,0.126825933,0.324562861,-0.095508121,0.080096346,0.11533613,-0.043860143,0.113373805,0.139082176,-0.03672184,-0.021253138,0.079712452,0.097364715,-0.038846224,0.168448348,0.148654673,0.231434344,0.258443996,0.106523671,0.182658864,-0.069121682,0.153079629,0.073082132,0.111298911
133,LU-139,0.070041943,0.164920164,-0.054906624,-0.02661839,0.020101103,0.114867842,0.178168834,0.122849542,-0.033043648,0.145723833,0.152480483,0.022291348,-0.071259075,0.134838844,0.257844954,0.111899873,0.180122444,-0.043973701,0.110362312,0.067113164,-0.095065895,0.239493685,0.095950386,-0.016626488,-0.097404056,0.06546394,0.071528348,-0.041326675,0.058700702,0.08622578,0.102613826,0.15881472,0.191276636,0.21462775,-0.095194903,0.240636457,0.157021353,0.137096593
134,LU-135,0.128108068,0.194592977,-0.012440964,0.01284509,0.135598813,0.133513048,0.18085203,0.128725825,0.040747681,0.249935223,0.154397653,0.078445839,-0.027142396,0.13231145,0.265381128,0.12531964,0.252912365,-0.011626865,0.090206029,0.133294046,-0.006838531,0.240014639,0.095674442,0.035217472,-0.057829786,0.114503368,0.076282468,0.061603161,0.091708439,0.112009122,0.234383869,0.150539789,0.126722047,0.187857594,-0.094996274,0.248110901,0.149119261,0.112953493
135,LU-134-A,0.144756134,0.230486109,0.015469432,0.022203529,0.095675251,0.103293397,-0.009414675,0.137029183,0.005816581,0.199943603,0.185721683,0.043996074,-0.058117236,0.154125918,0.210392285,0.153588027,0.282532117,-0.031918812,0.068636277,0.138211331,-0.118280931,-0.047580861,0.101597499,-0.012734093,-0.028263195,0.076501438,0.074073737,0.033803114,0.217089722,0.171033781,0.216892436,0.126468571,0.192566781,0.202908058,-0.071106333,0.095897063,0.147750257,0.10156222
136,LC-2-ad,0.009714045,0.157893689,0.198105576,0.169767364,-0.020159807,0.063025169,-0.038010274,0.100582372,0.05009614,-0.018125913,0.173713689,0.180140371,0.12379641,0.022686435,-0.003917812,0.046438134,0.079975443,0.131983369,0.184938745,0.046425352,0.189390822,-0.012886681,0.092176452,0.12018238,0.00533389,0.156287129,0.14254644,0.090554091,0.067081754,0.080313052,0.018459166,-0.010552286,0.123160398,-0.047068691,0.164148997,0.026342025,0.061451205,0.138177889
137,MFH-ino,0.233623597,0.201237271,0.125245239,0.262268848,0.12798369,0.139709569,0.025546439,0.237923207,0.118823869,0.131531492,0.206219991,0.18176149,0.329493387,0.256165849,0.187099643,0.247188695,0.106201863,0.187256656,0.219055651,0.210376552,0.09575205,-0.014514141,0.201040612,0.208231916,0.107707465,0.198635383,0.195203544,0.268525555,0.234449577,0.285637515,0.23578333,0.015978736,0.159438177,0.063395722,0.120152504,0.049548296,0.232910051,0.186734319
138,KP-4,0.15094783,0.168307853,-0.06441843,0.101425672,-0.002612294,-0.033500371,-0.012796227,0.167310098,0.058365939,0.098730609,0.167828222,0.090442418,0.102375582,0.096385179,0.181568044,0.126337623,-0.062714752,0.043019022,0.144643797,-0.003561515,0.025826936,0.161718657,-0.02575028,0.091271373,-0.006501327,0.096714334,0.105483641,0.145587434,-0.055220196,0.145151748,-0.056637865,0.056323481,0.129426228,0.048007376,0.127207905,0.155896443,0.169521039,0.117491004
139,KGN,0.211151425,0.305799179,0.176831458,0.324672127,0.098446538,0.178681567,-0.050162902,0.313110124,0.130808066,0.161727784,0.312708654,0.223953547,0.434870391,0.325504781,0.133808978,0.256107487,0.079224601,0.154093704,0.244424602,0.227921803,0.151169454,-0.08277195,0.226624861,0.251217093,0.110445135,0.233044114,0.237484839,0.358359396,0.193352173,0.304573407,0.191811545,0.067109586,0.201298269,0.019243438,0.191450809,0.055569704,0.294261487,0.267766894
140,JHOS-4,0.012644779,0.221292124,0.158131106,0.149946804,0.029872183,0.135714531,0.132289295,0.18649411,0.085545595,0.007296297,0.219847581,0.090024866,0.171366345,0.059109939,0.018813845,0.109062446,0.025079695,0.002624618,0.136692687,0.16678037,-0.001924175,0.292924721,0.008841901,0.066650307,0.051121856,0.133809689,0.068959317,0.160084007,0.069339325,0.062195445,-0.045897309,-0.012933089,0.222393893,-0.093857077,0.027369353,0.174933354,0.103520425,0.19764524
141,JHOS-3,0.137437763,0.148034727,0.094798692,0.130006711,0.014893217,0.06212468,0.126290463,0.196507912,-0.016080642,0.006551519,0.248376559,0.060857053,0.206622431,0.073612465,0.00947226,0.107599173,0.00462837,0.068320659,0.139885482,0.073168435,0.019447665,0.095133252,0.092474751,0.113894786,0.047753413,0.10195658,0.062816244,0.162123747,0.154908355,0.131829244,0.033639376,-0.056017649,0.238317742,-0.14967197,0.031651803,0.085441562,0.119165642,0.175149748
142,JHOS-2,0.04484475,0.110653747,0.073941011,0.101093886,0.003835946,0.075566712,0.098188361,0.097426444,-0.01179117,-0.021426718,0.06802166,0.095714887,0.165551666,0.088284842,-0.04442236,0.05145813,-0.017642933,0.051369176,0.078519072,0.080513902,0.039598584,0.251739719,0.052549386,0.07939237,0.072489732,0.076974977,0.074047301,0.137582742,0.104181383,0.10837708,0.061835366,-0.004412275,0.142670963,0.073139903,-0.045410296,0.148112443,0.041706729,0.106004382
143,IA-LM,0.133243766,0.181793012,0.095095239,0.092900361,0.067055316,0.028612899,0.041120864,0.099384309,0.0681013,0.054575929,0.239288241,0.150046413,0.207389553,0.149730161,0.156483598,0.119936124,0.091084014,0.127078164,0.160355606,0.105319582,0.142383907,-0.009477111,0.166889448,0.144867544,-0.09134525,0.158259286,0.118158974,0.165978818,0.101842938,0.155938568,0.089356964,0.04559656,0.098928707,0.067773573,0.091097739,0.070201879,0.108586863,0.09849335
144,KU812,0.06145057,-0.115703375,0.244243875,0.152151165,0.006717173,0.00394449,0.038127205,0.216783916,0.180895319,0.018344226,0.04764637,0.030940023,-0.030818511,0.041402809,0.110863341,0.120694378,-0.047561586,0.231346125,0.076065119,-0.062684106,0.263095151,0.053167632,0.112514556,0.097836005,-0.016307777,0.066735879,0.052575773,0.002516365,0.111489345,0.027765506,0.062055411,0.027567711,-0.022165296,0.032665551,0.195690459,0.09097057,0.100807405,0.02042816
145,L-363,0.093183504,-0.109104525,0.136224727,0.062620311,-0.03195441,-0.043403387,0.121478508,0.165416842,0.039598184,-0.063427158,0.001713689,-0.096056287,-0.098751225,-0.074510619,-0.089839947,0.036957418,-0.164843822,0.085216541,-0.018958562,-0.028662004,0.066905215,0.4550975,-0.041228958,-0.021213831,-0.045597637,-0.152244152,-0.030630505,-0.074298392,-0.059567666,-0.034850054,-0.084532783,0.013653008,0.050183981,0.078602887,0.137403959,0.289729667,0.049205068,0.014028275
